,ModelName,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall
0,ICA,10.998995661735535,0.008059191703796386,0.7821428571428571,0.7861593746090518,0.7645703710338434,0.8127487969724815
1,NMF,10.198390889167786,0.007257509231567383,0.7535714285714286,0.7723904091169087,0.7200050752642217,0.8411204543977371
2,DL,10.768479466438293,0.009895920753479004,0.48392857142857143,0.3349200434331663,0.6109719839908518,0.4429297911847968
3,IVA-mean,10.140989732742309,0.007093358039855957,0.7714285714285715,0.7773871429247915,0.7602333953960353,0.7995757902218885
4,IVA-max,10.056767678260803,0.006988048553466797,0.7714285714285715,0.7773871429247915,0.7602333953960353,0.7995757902218885
5,LDA,10.682146382331847,0.009095335006713867,0.6375,0.6954065699167303,0.5956001043866087,0.8409770054169023
6,bert-large-uncased,34.60100584030151,0.013345837593078613,0.8732142857142857,0.8756509658734235,0.8588679870951677,0.8940770215890519
7,bert-large-cased,36.26166541576386,0.014317846298217774,0.8678571428571429,0.8702882886093599,0.8579276559958847,0.88948323473312
8,bert-base-uncased,26.489522671699525,0.01161336898803711,0.8571428571428571,0.8612349664301833,0.8406941045647282,0.8864736271457204
9,bert-base-cased,26.337386155128478,0.015731501579284667,0.8714285714285716,0.8731751989143348,0.8675361484030594,0.8825876225993505
10,roberta-base,24.553662157058717,0.011365675926208496,0.8821428571428571,0.8824190907603097,0.8891616081360241,0.8790597919806098
11,roberta-large,33.97855725288391,0.014722657203674317,0.8857142857142856,0.8855079909406343,0.8862760196380887,0.8876087156434584
12,electra-base-discriminator,26.558708000183106,0.012356734275817871,0.8660714285714286,0.8664404374754653,0.8766754339557938,0.8623460308056418
13,electra-large-discriminator,36.26202845573425,0.015591597557067871,0.8464285714285713,0.8448206578332119,0.85356048166393,0.8377532230428566
