,ModelName,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall
0,ICA,7.054250741004944,0.0050918817520141605,0.49642857142857144,0.4400708395290803,0.5685284631122383,0.4214008964539747
1,NMF,7.68836669921875,0.004151558876037598,0.7732142857142856,0.7894928187557948,0.7349273043959952,0.8586718436736571
2,DL,6.166999101638794,0.005189251899719238,0.45714285714285713,0.31324284479690917,0.22857142857142856,0.5
3,IVA-mean,8.137088775634766,0.0045588970184326175,0.7732142857142856,0.7797131134070316,0.7577272993415523,0.8061961605922588
4,IVA-max,8.156591773033142,0.004533028602600098,0.7732142857142856,0.7797131134070316,0.7577272993415523,0.8061961605922588
5,LDA,8.517649841308593,0.005244612693786621,0.6071428571428572,0.6831301389714426,0.5708450280719634,0.8558862026040233
6,bert-large-uncased,27.676159834861757,0.007147645950317383,0.8803571428571428,0.8809437225317005,0.876870662193243,0.8883809496941237
7,bert-large-cased,27.604214835166932,0.007155370712280273,0.8785714285714287,0.8811524839782361,0.8642348823769357,0.9031760299125912
8,bert-base-uncased,20.69543340206146,0.005616021156311035,0.8642857142857142,0.8674218606754758,0.8502538667302293,0.8872730934839799
9,bert-base-cased,21.374035906791686,0.0063002586364746095,0.8589285714285715,0.8628315223135946,0.8505023829217377,0.8794510188582103
10,roberta-base,21.95756642818451,0.006277537345886231,0.8732142857142857,0.8732947045766434,0.8823784600275386,0.869250070145419
11,roberta-large,31.29131762981415,0.008733868598937988,0.8785714285714284,0.878837270532482,0.8797903165851612,0.8799392629594062
12,electra-base-discriminator,21.64199240207672,0.006699776649475098,0.85,0.8505060328659149,0.8608078326526603,0.8448501632440308
13,electra-large-discriminator,29.874138379096983,0.009011459350585938,0.8410714285714287,0.8394687701692796,0.8486459912600068,0.8353754188893777
