,Is_Unreliable,Category,Tweet,Test_Fold
0,1,"1, 3, 6, 9",We are living in scary times in Canada. Gov’t refuses to protect Canadians from coronavirus,3.0
1,1,"1, 6, 8, 9","Just as bad in Canada. In fact, our government is now accusing us of racism for blaming the Chinese for coronavirus",9.0
2,1,"1, 4, 9","It was only a matter of time before the mainstream media decided to blame the coronavirus on climate change, I suppose.",1.0
3,1,"6, 8","Russia's taking no chances: Foreigners infected with the new Chinese coronavirus will be quarantined, isolated &amp; deported, PM",5.0
4,1,"6, 8, 9","Although there is now a presumptive confirmed case of Wuhan novel coronavirus, I want you to know that Ontario is prepared",8.0
5,1,"3, 10","hooray, finally there is a propaganda banner telling people they can make babies if getting bored staying home #coronavirus",4.0
6,1,"5, 6, 10",#Russia is pushing propaganda claiming the #coronavirus is a US bio weapon targeting #China because of #Trump’s trade,1.0
7,1,8,Who Says It's Not Safe to Travel to China? | @nytimes https://t.co/XnCdNqUmWi #travelmarketing #coronavirus #China #travelwarning #travel #thursdaythoughts #Toronto,5.0
8,1,3,The best defense against disturbing new diseases like #coronavirus is bolstering public health systems of the world’s,9.0
9,1,"1, 3, 6, 8","China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor “(People from Wuhan) are pariahs in China, among the millions unable to go home and feared as potential carriers of the mysterious coronavirus.",2.0
10,1,"5, 11","Coronavirus, with zero American fatalities, is dominating headlines, while the flu has killed dozens of U.S. kids this s…",1.0
11,1,"5, 6, 7, 8, 9",RT @daveaurkov: #Iran just killed 57 of our citizens. The #coronavirus is spreading for Canadians   Our economy needs support.  ,3.0
12,1,"3, 6, 8, 15",The Chinese Coronavirus has become a major existential crisis for secretary xi and his cadre of miscreants. ,8.0
13,1,9,"Diseases like coronavirus remind us why we need robust institutions and investments in public health, and a government that is prepared to jump into action at a moment's notice",10.0
14,1,"2, 10, 11",YA THINK!!?!!?! Study claiming new #coronavirus can be transmitted by people without symptoms was flawed,9.0
15,1,10,It was good for publicity’ says man arrested for false coronavirus claim on Jamaica-bound plane - via @680news https://t.co/IdyDbXqPqq,2.0
16,1,"6, 11, 14","The #coronavirus outbreak may have been predicted in the Bible, as well as its origins in China's markets.",5.0
17,1,"6, 11",Coronavirus cure: 'Substantial benefits' recorded after breakthrough drug used in China https://t.co/IyJwUTTKbc ,4.0
18,1,"1, 3, 4, 9",I see more and more videos of people refusing to be quarantined due to #coronavirus. They’re definitely terrified of something,3.0
19,1,"9, 10, 11, 12, 15","Communist China is lying about true extent of Coronavirus outbreak - If Communist China doesn’t come clean, internation",4.0
20,1,"6, 10, 15","Exclusive: Chinese Regime Deploys 1,600 Online Trolls to Suppress Information on Coronavirus https://t.co/JKoPgU6vlN ",10.0
21,1,"3, 9, 13",My nose is running this morning and its making the white people on my commute nervous. Bitch theres no coronavirus cases in toronto.,10.0
